id_solicitante,edad,sexo,ciudad,region,estrato,nivel_educativo,estado_civil,num_dependientes,tipo_empleo,antiguedad_laboral_meses,ingreso_mensual,gastos_fijos_mensuales,score_buro,num_creditos_anteriores,num_creditos_mora,dias_mora_max,monto_solicitado,plazo_meses,relacion_cuota_ingreso,tiene_codeudor,tiene_garantia,credito_aprobado
FC-00055,31,M,Barranquilla,costa_norte,2,bachillerato,divorciado,0,empleado_formal,10,1300152,536658,592,4,0,0,500000,12,0.0368,1,0,1
FC-00056,40,F,Cúcuta,costa_norte,1,bachillerato,union_libre,4,independiente,20,1114854,730441,484,0,0,0,2000000,18,0.1218,1,0,0
FC-00057,56,M,Bogotá,interior,3,bachillerato,casado,3,empleado_formal,4,2583959,1804193,350,2,0,0,3000000,18,0.0788,0,0,0
FC-00058,29,F,Bogotá,interior,1,tecnico,soltero,0,informal,31,985184,608126,350,2,1,90,1000000,12,0.0972,1,1,0
FC-00059,66,M,Medellín,interior,2,bachillerato,casado,0,informal,21,1490488,999191,376,1,0,0,1000000,12,0.0642,0,0,0
FC-00060,65,M,Bucaramanga,interior,1,universitario,soltero,1,empleado_formal,56,1175001,621227,474,0,0,0,2000000,12,0.1629,1,0,1
FC-00061,56,F,Cúcuta,costa_norte,6,tecnico,casado,4,empleado_formal,7,14958482,8766397,810,2,0,0,2000000,12,0.0128,0,1,1
FC-00062,57,M,Manizales,interior,2,universitario,casado,0,empleado_formal,43,2038913,1006190,574,2,0,0,3000000,60,0.0444,1,0,1
FC-00063,26,F,Bogotá,interior,2,tecnico,soltero,2,informal,18,1992626,1290013,402,5,0,0,1000000,18,0.0341,0,0,0
FC-00064,31,M,Manizales,interior,1,universitario,casado,2,independiente,20,1401449,652979,551,2,0,0,2000000,48,0.0484,0,0,0
FC-00065,47,M,Pereira,interior,3,primaria,divorciado,4,independiente,21,2168836,1157081,542,4,0,0,3000000,6,0.2486,0,1,0
FC-00066,40,F,Bogotá,interior,2,bachillerato,divorciado,1,desempleado,0,357011,162823,533,3,0,0,10000000,24,1.5147,0,0,0
FC-00067,66,F,Pereira,interior,2,tecnico,casado,4,pensionado,1,1950814,983082,521,3,1,120,500000,24,0.0139,0,0,0
FC-00068,58,F,Bogotá,interior,3,universitario,casado,0,informal,191,1742174,918838,520,1,0,0,2000000,12,0.1099,1,0,1
FC-00069,63,M,Ibagué,interior,2,bachillerato,soltero,1,independiente,17,1137735,694327,648,3,0,0,5000000,12,0.4207,1,0,1
FC-00070,61,F,Barranquilla,costa_norte,4,tecnico,casado,3,empleado_formal,90,4156265,2287338,596,1,0,0,500000,6,0.0216,0,1,1
FC-00071,19,F,Cali,costa_norte,1,tecnico,union_libre,0,empleado_formal,89,948494,507909,493,1,1,90,500000,12,0.0505,0,0,0
FC-00072,26,F,Bogotá,interior,2,bachillerato,union_libre,3,empleado_formal,9,1903813,1369792,534,6,1,180,3000000,24,0.0852,0,1,0
FC-00073,19,F,Pereira,interior,3,bachillerato,casado,4,desempleado,0,423675,275636,406,4,0,0,5000000,18,0.8011,0,0,0
FC-00074,51,F,Medellín,interior,4,bachillerato,union_libre,2,empleado_formal,4,3967019,1756047,525,2,1,60,2000000,24,0.0273,1,0,1
FC-00075,71,F,Cali,costa_norte,3,tecnico,union_libre,0,informal,4,2464771,1440159,489,0,0,0,5000000,24,0.1097,1,0,0
FC-00076,63,M,Medellín,interior,3,bachillerato,soltero,1,independiente,38,2965337,2065622,423,4,0,0,3000000,48,0.0343,1,0,0
FC-00077,18,F,Medellín,interior,5,universitario,soltero,2,informal,17,6146649,2655269,511,5,0,0,2000000,24,0.0176,1,0,1
FC-00078,30,F,Cali,costa_norte,3,universitario,union_libre,2,empleado_formal,51,1997721,1385757,562,1,0,0,15000000,24,0.406,0,1,1
FC-00079,71,M,Bogotá,interior,2,posgrado,soltero,0,informal,41,1698670,669742,458,5,0,0,2000000,24,0.0637,0,1,0
FC-00080,25,F,Medellín,interior,3,primaria,divorciado,3,informal,22,2585335,1600275,622,0,0,0,1000000,12,0.037,1,0,1
FC-00081,68,M,Medellín,interior,3,universitario,casado,4,empleado_formal,115,4888363,2921912,509,1,0,0,2000000,18,0.0278,0,1,1
FC-00082,29,M,Bogotá,interior,2,universitario,casado,3,empleado_formal,31,1798739,1107675,424,3,1,30,5000000,12,0.2661,0,0,0
FC-00083,68,F,Cali,costa_norte,4,bachillerato,casado,3,independiente,12,3201392,1298198,644,0,0,0,1000000,24,0.0169,0,0,1
FC-00084,45,F,Cali,costa_norte,1,primaria,soltero,1,informal,4,1070177,560047,508,4,0,0,15000000,24,0.758,1,0,0
FC-00085,31,M,Bogotá,interior,3,bachillerato,casado,0,empleado_formal,2,2853349,1932899,620,0,0,0,2000000,36,0.0284,1,1,1
FC-00086,20,F,Bogotá,interior,3,tecnico,union_libre,4,empleado_formal,194,3323003,2281678,538,2,0,0,1000000,24,0.0163,0,0,1
FC-00087,41,F,Barranquilla,costa_norte,3,bachillerato,soltero,0,informal,8,3272854,1653318,638,2,1,30,8000000,18,0.1659,0,0,0
FC-00088,38,F,Barranquilla,costa_norte,2,universitario,casado,0,informal,13,813815,447770,566,5,1,30,500000,18,0.0417,1,0,1
FC-00089,59,M,Medellín,interior,3,tecnico,soltero,1,independiente,1,1949664,978095,554,5,0,0,500000,12,0.0245,0,0,0
FC-00090,58,F,Bogotá,interior,3,universitario,soltero,1,informal,10,3073372,1222471,701,6,2,90,2000000,24,0.0352,1,0,1
FC-00091,47,F,Medellín,interior,4,bachillerato,casado,2,desempleado,0,525579,254435,518,1,0,0,15000000,12,2.732,1,0,0
FC-00092,70,M,Bogotá,interior,3,tecnico,soltero,0,empleado_formal,66,1743707,961081,483,4,0,0,3000000,48,0.0584,0,0,1
FC-00093,40,F,Barranquilla,costa_norte,1,universitario,casado,1,informal,11,816012,587177,400,0,0,0,5000000,24,0.3313,0,0,0
FC-00094,41,F,Barranquilla,costa_norte,3,primaria,union_libre,2,empleado_formal,17,2876315,1932778,524,0,0,0,5000000,60,0.0525,0,0,1
FC-00095,21,M,Cali,costa_norte,2,tecnico,union_libre,2,informal,2,2139037,1264895,559,3,0,0,5000000,18,0.1587,0,0,0
FC-00096,21,F,Cali,costa_norte,5,tecnico,casado,4,pensionado,93,8544185,3741137,421,3,0,0,500000,24,0.0032,0,0,1
FC-00097,60,F,Medellín,interior,2,tecnico,soltero,3,empleado_formal,40,1443646,679647,397,0,0,0,2000000,12,0.1326,0,1,0
FC-00098,29,M,Bogotá,interior,2,bachillerato,soltero,0,empleado_formal,4,1670398,981450,534,2,1,120,5000000,24,0.1619,0,0,0
FC-00099,65,F,Bucaramanga,interior,1,tecnico,casado,5,empleado_formal,25,1603587,861164,379,2,0,0,2000000,36,0.0505,0,0,0
FC-00100,38,F,Barranquilla,costa_norte,2,primaria,soltero,3,independiente,119,1357343,482931,499,2,1,120,10000000,24,0.3984,0,0,0
FC-00101,44,F,Bogotá,interior,4,bachillerato,soltero,0,empleado_formal,64,3929955,2840488,602,0,0,0,2000000,24,0.0275,0,0,1
FC-00102,23,M,Medellín,interior,3,tecnico,casado,1,empleado_formal,32,2835971,1296577,517,1,0,0,1000000,18,0.0239,0,0,1
FC-00103,66,F,Medellín,interior,6,bachillerato,soltero,1,independiente,13,14772065,6098111,833,4,0,0,2000000,12,0.013,0,0,1
FC-00104,56,M,Medellín,interior,2,tecnico,soltero,2,independiente,4,999182,626016,435,3,0,0,8000000,24,0.433,0,0,0
FC-00105,69,M,Bogotá,interior,2,universitario,soltero,2,empleado_formal,2,1895979,1231526,388,0,0,0,1000000,36,0.0214,0,0,0
FC-00106,19,F,Bogotá,interior,4,tecnico,union_libre,0,empleado_formal,20,3395664,2527363,546,0,0,0,5000000,36,0.0596,1,0,1
FC-00107,65,M,Cali,costa_norte,3,bachillerato,casado,2,pensionado,7,2394863,1034973,408,0,0,0,15000000,48,0.2126,1,0,0
FC-00108,43,F,Bogotá,interior,1,tecnico,soltero,2,empleado_formal,26,1282085,697422,396,2,1,120,3000000,12,0.224,1,0,0
FC-00109,50,M,Bogotá,interior,6,universitario,soltero,1,independiente,26,10614098,7277173,765,3,2,60,5000000,18,0.032,1,0,1
FC-00110,37,M,Bogotá,interior,1,tecnico,divorciado,2,informal,58,1081366,682567,559,2,0,0,8000000,24,0.4001,0,0,0
FC-00111,69,M,Bogotá,interior,2,universitario,soltero,0,empleado_formal,20,1466643,977108,582,1,0,0,8000000,24,0.295,1,0,1
FC-00112,27,M,Bucaramanga,interior,4,tecnico,soltero,2,independiente,9,5586666,3517633,506,0,0,0,8000000,18,0.0972,1,1,1
FC-00113,70,M,Bogotá,interior,2,tecnico,soltero,2,informal,3,1151608,546363,550,2,0,0,15000000,18,0.8842,0,1,0
FC-00114,46,M,Ibagué,interior,1,universitario,divorciado,2,desempleado,0,382276,255595,461,2,0,0,3000000,48,0.2664,1,1,0
FC-00115,60,F,Medellín,interior,2,universitario,union_libre,2,empleado_formal,28,2357668,1352329,506,4,1,30,3000000,12,0.1218,0,0,0
FC-00116,56,F,Bogotá,interior,2,tecnico,soltero,2,empleado_formal,1,1976887,1369306,543,1,1,30,3000000,48,0.0515,0,0,0
FC-00117,60,F,Medellín,interior,2,primaria,union_libre,4,pensionado,9,2403553,1228301,581,1,1,30,5000000,24,0.1125,1,1,0
FC-00118,50,F,Bogotá,interior,2,tecnico,soltero,2,independiente,6,1351335,713541,350,4,0,0,2000000,12,0.1417,0,0,0
FC-00119,29,M,Manizales,interior,4,bachillerato,divorciado,2,informal,15,5303577,3270283,395,6,0,0,2000000,6,0.0678,0,0,0
FC-00120,40,M,Pereira,interior,3,primaria,union_libre,3,informal,60,3098206,1687915,509,3,0,0,2000000,18,0.0438,1,1,0
FC-00121,63,F,Barranquilla,costa_norte,2,bachillerato,soltero,0,empleado_formal,2,1795065,1263614,350,2,0,0,2000000,18,0.0756,0,0,0
FC-00122,24,M,Cali,costa_norte,3,universitario,union_libre,2,pensionado,34,1931444,827537,507,2,0,0,5000000,36,0.1049,0,0,1
FC-00123,25,M,Bogotá,interior,4,tecnico,casado,2,empleado_formal,11,3176960,2194686,508,0,0,0,3000000,18,0.0641,0,0,0
FC-00124,46,M,Ibagué,interior,6,universitario,casado,0,empleado_formal,18,7071435,3896275,542,0,0,0,1000000,18,0.0096,0,1,1
FC-00125,49,M,Bogotá,interior,2,primaria,divorciado,4,independiente,29,1721796,1214869,698,3,1,60,2000000,24,0.0628,0,1,1
FC-00126,65,M,Cartagena,costa_norte,4,bachillerato,union_libre,1,informal,3,3701160,2323698,537,0,0,0,5000000,6,0.2428,0,0,0
FC-00127,30,F,Manizales,interior,3,universitario,casado,1,independiente,52,2056033,847743,760,1,1,90,500000,6,0.0437,0,1,1
FC-00128,31,F,Medellín,interior,1,bachillerato,soltero,2,independiente,53,1133881,823099,543,2,0,0,3000000,12,0.2533,0,1,1
FC-00129,34,F,Barranquilla,costa_norte,1,tecnico,casado,3,independiente,2,600000,277489,401,0,0,0,2000000,48,0.1131,1,0,0
FC-00130,42,M,Cartagena,costa_norte,2,bachillerato,casado,3,independiente,2,2623683,1546255,627,0,0,0,3000000,60,0.0345,0,1,1
FC-00131,28,M,Barranquilla,costa_norte,3,tecnico,union_libre,4,independiente,50,2390023,1266035,512,6,0,0,2000000,6,0.1504,1,1,0
FC-00132,41,F,Bogotá,interior,3,bachillerato,soltero,1,independiente,30,2130372,1247365,350,0,0,0,1000000,12,0.0449,0,0,0
FC-00133,41,F,Barranquilla,costa_norte,3,bachillerato,casado,3,informal,59,2397395,971871,476,1,0,0,5000000,12,0.1996,0,0,0
FC-00134,28,M,Cali,costa_norte,3,bachillerato,casado,2,informal,1,4318815,3008023,504,0,0,0,1000000,48,0.0079,0,0,1
FC-00135,29,F,Manizales,interior,3,bachillerato,casado,1,desempleado,0,698859,359817,509,4,0,0,3000000,24,0.2321,0,0,0
FC-00136,37,F,Cali,costa_norte,1,universitario,union_libre,2,independiente,1,1396694,651817,506,1,1,360,1000000,24,0.0387,0,0,0
FC-00137,36,M,Cúcuta,costa_norte,3,universitario,soltero,0,informal,27,2392033,916396,534,2,1,120,500000,36,0.0085,1,0,0
FC-00138,47,F,Medellín,interior,1,universitario,casado,2,independiente,52,1860461,753701,519,3,3,60,2000000,24,0.0581,0,0,0
FC-00139,49,F,Medellín,interior,4,tecnico,casado,3,empleado_formal,8,4206458,2590280,510,5,0,0,3000000,48,0.0242,1,1,1
FC-00140,18,F,Bogotá,interior,2,bachillerato,casado,2,independiente,39,1721650,988538,350,3,2,30,3000000,12,0.1668,0,0,0
FC-00141,50,F,Cartagena,costa_norte,3,universitario,soltero,2,empleado_formal,9,1469179,854663,440,3,0,0,1000000,12,0.0652,0,0,0
FC-00142,69,F,Cali,costa_norte,3,universitario,union_libre,2,empleado_formal,7,2748226,1538921,449,0,0,0,5000000,24,0.0984,0,0,0
FC-00143,55,M,Bogotá,interior,2,posgrado,divorciado,1,empleado_formal,59,2681611,1398714,456,1,0,0,500000,18,0.0127,0,1,0
FC-00144,53,F,Barranquilla,costa_norte,2,tecnico,casado,2,empleado_formal,6,2076543,1134495,469,2,0,0,500000,18,0.0163,0,0,0
FC-00145,70,M,Cartagena,costa_norte,6,tecnico,union_libre,0,empleado_formal,17,15137772,8043197,595,0,0,0,1000000,24,0.0036,0,1,1
FC-00146,65,F,Medellín,interior,3,posgrado,soltero,3,empleado_formal,62,3013960,1505320,518,1,0,0,500000,36,0.0067,0,1,1
FC-00147,38,F,Barranquilla,costa_norte,2,bachillerato,casado,0,empleado_formal,53,1589077,992528,441,3,0,0,15000000,12,0.9036,1,1,0
FC-00148,32,M,Barranquilla,costa_norte,2,bachillerato,casado,1,empleado_formal,24,2629725,1570996,502,0,0,0,3000000,36,0.0462,1,0,1
FC-00149,23,F,Medellín,interior,6,universitario,soltero,3,empleado_formal,16,7578952,3743348,722,3,0,0,500000,24,0.0036,0,0,1
FC-00150,70,M,Bogotá,interior,5,posgrado,soltero,1,empleado_formal,48,4793476,3259017,605,1,0,0,10000000,24,0.1128,1,0,1
FC-00151,22,M,Barranquilla,costa_norte,5,bachillerato,union_libre,0,empleado_formal,64,3627219,1377302,577,4,0,0,500000,24,0.0075,0,0,1
FC-00152,60,F,Medellín,interior,2,tecnico,soltero,0,independiente,3,2225079,890878,559,0,0,0,1000000,6,0.0808,0,0,1
FC-00153,69,F,Barranquilla,costa_norte,3,bachillerato,soltero,2,empleado_formal,1,3170934,2132591,546,0,0,0,500000,48,0.0054,1,1,1
FC-00154,25,F,Cartagena,costa_norte,3,universitario,union_libre,2,desempleado,0,581766,436164,354,4,0,0,1000000,36,0.0696,0,0,0
FC-00155,22,F,Barranquilla,costa_norte,1,universitario,casado,1,empleado_formal,19,669498,282186,400,2,2,60,2000000,36,0.121,0,0,0
FC-00156,43,F,Bogotá,interior,3,tecnico,casado,1,independiente,32,2808167,1032732,509,0,0,0,3000000,24,0.0578,1,1,1
FC-00157,41,M,Cali,costa_norte,3,universitario,soltero,0,empleado_formal,16,2976254,1708612,492,2,0,0,10000000,12,0.3216,0,0,1
FC-00158,43,M,Bogotá,interior,5,posgrado,union_libre,0,empleado_formal,141,5182767,2660731,569,0,0,0,2000000,48,0.0131,0,1,1
FC-00159,36,F,Medellín,interior,4,posgrado,soltero,0,independiente,14,3139711,2165747,572,1,1,90,2000000,24,0.0344,0,0,0
FC-00160,46,F,Bogotá,interior,1,bachillerato,soltero,2,informal,23,600000,399168,350,0,0,0,3000000,24,0.2704,0,0,0
FC-00161,24,M,Cúcuta,costa_norte,4,tecnico,casado,1,empleado_formal,4,5033461,3224002,513,4,0,0,1000000,24,0.0107,0,0,1
FC-00162,41,M,Bogotá,interior,2,universitario,soltero,1,empleado_formal,129,2500459,1597470,543,1,1,90,1000000,12,0.0383,1,0,0
FC-00163,35,F,Cali,costa_norte,3,tecnico,divorciado,0,independiente,21,2180560,946672,645,2,0,0,2000000,6,0.1649,1,1,1
FC-00164,31,F,Cali,costa_norte,2,primaria,union_libre,0,independiente,29,2134996,864548,433,0,0,0,3000000,12,0.1345,1,0,0
FC-00165,70,F,Cali,costa_norte,4,bachillerato,soltero,2,independiente,7,3407351,2019420,648,0,0,0,5000000,18,0.0996,0,0,1
FC-00166,45,F,Cartagena,costa_norte,3,universitario,casado,1,independiente,2,1944931,1186403,492,0,0,0,3000000,18,0.1047,1,0,0
FC-00167,23,F,Bogotá,interior,4,tecnico,union_libre,2,independiente,28,4137020,2653654,704,0,0,0,1000000,18,0.0164,1,1,1
FC-00168,42,F,Cali,costa_norte,6,universitario,union_libre,2,empleado_formal,5,16543278,6052135,733,4,1,120,3000000,12,0.0174,0,0,1
FC-00169,50,M,Cartagena,costa_norte,3,bachillerato,soltero,0,desempleado,0,428747,210192,497,3,2,60,2000000,24,0.2523,1,1,0
FC-00170,44,F,Medellín,interior,2,primaria,casado,0,independiente,7,1366808,822069,551,2,2,30,10000000,12,0.7004,0,1,0
FC-00171,31,F,Bogotá,interior,2,bachillerato,soltero,2,informal,8,1674392,588686,525,2,1,120,3000000,60,0.0541,1,1,1
FC-00172,36,F,Ibagué,interior,2,tecnico,casado,0,empleado_formal,19,2549369,1272727,582,4,0,0,10000000,36,0.1589,0,0,1
FC-00173,25,F,Bogotá,interior,4,universitario,casado,2,empleado_formal,2,4429261,2195161,630,0,0,0,2000000,12,0.0432,1,0,1
FC-00174,45,M,Medellín,interior,3,bachillerato,union_libre,2,empleado_formal,12,1893605,1053816,463,0,0,0,5000000,18,0.1792,0,0,0
FC-00175,68,M,Bogotá,interior,1,universitario,union_libre,5,empleado_formal,21,928458,615976,570,2,2,120,500000,24,0.0291,0,1,0
FC-00176,52,F,Medellín,interior,3,bachillerato,soltero,0,desempleado,0,627602,378866,408,1,0,0,2000000,6,0.5728,0,0,0
FC-00177,41,M,Medellín,interior,5,universitario,soltero,1,informal,23,5009913,2968901,616,0,0,0,2000000,18,0.0271,0,1,1
FC-00178,50,M,Barranquilla,costa_norte,5,universitario,soltero,0,informal,31,9961483,4062680,636,3,0,0,5000000,12,0.048,0,0,1
FC-00179,58,M,Bogotá,interior,3,posgrado,casado,0,independiente,25,2221182,1058943,473,2,1,180,2000000,36,0.0365,1,0,0
FC-00180,47,M,Medellín,interior,3,tecnico,soltero,2,independiente,36,1298450,529274,445,5,0,0,1000000,24,0.0416,0,1,0
FC-00181,42,F,Cartagena,costa_norte,2,tecnico,casado,0,desempleado,0,348245,211546,390,0,0,0,2000000,24,0.3106,1,1,0
FC-00182,28,F,Medellín,interior,6,universitario,casado,3,independiente,3,15160231,6149032,683,0,0,0,8000000,60,0.0159,0,1,1
FC-00183,20,M,Cartagena,costa_norte,2,tecnico,soltero,2,independiente,9,967658,629951,557,1,1,180,5000000,12,0.4946,0,1,0
FC-00184,67,M,Cali,costa_norte,2,tecnico,soltero,1,empleado_formal,118,1701973,807680,367,2,0,0,2000000,18,0.0798,0,0,0
FC-00185,26,M,Bogotá,interior,1,bachillerato,union_libre,0,empleado_formal,15,600000,289466,564,1,0,0,5000000,60,0.2515,0,0,1
FC-00186,43,F,Medellín,interior,3,bachillerato,union_libre,1,informal,37,1991911,1383678,453,3,0,0,15000000,18,0.5112,0,0,0
FC-00187,37,M,Bogotá,interior,1,bachillerato,soltero,0,pensionado,43,624931,348400,392,3,0,0,1000000,12,0.1532,0,0,0
FC-00188,48,F,Bogotá,interior,1,bachillerato,union_libre,5,independiente,26,1452537,611922,497,3,0,0,5000000,36,0.1394,0,0,0
FC-00189,52,M,Medellín,interior,1,tecnico,soltero,0,independiente,3,1367765,569084,350,3,0,0,3000000,36,0.0888,1,0,0
